,Year,Country,Case Number,Activity,Injury,Fatal (Y/N)
0,2016,USA,2016.09.18.c,Surfing,Minor injury to thigh,N
1,2016,USA,2016.09.18.b,Surfing,Lacerations to hands,N
2,2016,USA,2016.09.18.a,Surfing,Lacerations to lower leg,N
3,2016,AUSTRALIA,2016.09.17,Surfing,Struck by fin on chest & leg,N
4,2016,AUSTRALIA,2016.09.15,Surfing,No injury: Knocked off board by shark,N
5,2016,AUSTRALIA,2016.09.15.R,Fishing,Shark rammed boat. No injury to occupant,N
6,2016,USA,2016.09.11,Wading,Minor injury to arm,N
7,2016,USA,2016.09.07,Swimming,Severe lacerations to shoulder & forearm,N
8,2016,NEW CALEDONIA,2016.09.06,Surfing,FATAL,Y
9,2016,USA,2016.09.05.b,Other,Lacerations & punctures to lower right leg,N
10,2016,AUSTRALIA,2016.09.05.a,Surfing,"No inury, board broken in half by shark",N
11,2016,USA,2016.09.04,Body boarding,Foot bitten,N
12,2016,USA,2016.09.01,Fishing,Two toes broken & lacerated,N
13,2016,USA,2016.08.29.b,Surfing,Lacerations to right foot,N
14,2016,USA,2016.08.29.a,Surfing,Minor injury to ankle,N
15,2016,REUNION,2016.08.27,Surfing,"Right arm severed, ankle severely bitten ",N
16,2016,USA,2016.08.25,Wading,Minor injury to ankle,N
17,2016,BAHAMAS,2016.08.07,Snorkeling,Lacerations to left leg,N
18,2016,USA,2016.08.06,Other,"No inury, shark & board collided",N
19,2016,USA,2016.08.04,Surfing,Big toe bitten,N
20,2016,SPAIN,2016.07.29,Swimming,Lacerations to right hand,N
21,2016,OTHER,2016.07.28.R,Swimming,Lacerations to leg,N
22,2016,AUSTRALIA,2016.07.28,Other,"No injury, shark nudged kayak repeatedly",N
23,2016,USA,2016.07.27,Other,Laceration to left forearm PROVOKED INCIDENT,N
24,2016,AUSTRALIA,2016.07.26,Surfing,"No injury. Leg rope severed, knocked off board by shark",N
25,2016,JAPAN,2016.07.24,Surfing,Lacerations to left leg,N
26,2016,AUSTRALIA,2016.07.23.b,Surfing,Calf bumped but no injury,N
27,2016,BAHAMAS,2016.07.23.a,Fishing,Lacerations to face and right leg,N
28,2016,AUSTRALIA,2016.07.20,Fishing,Laceration to left calf from hooked shark PROVOKED INCIDENT,N
29,2016,USA,2016.07.17,Fishing,"No injury, shark bit trolling motor",N
30,2016,USA,2016.07.16.b,Surfing,Minor injury to leg,N
31,2016,USA,2016.07.16.a,Other,Minor injury to toes,N
32,2016,USA,2016.07.15,Swimming,Puncture wounds to foot,N
33,2016,BAHAMAS,2016.07.14.4,Diving,Face bruised when partly blind shark collided with him,N
34,2016,SPAIN,2016.07.08.R,Wading,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N
35,2016,USA,2016.07.08,Fishing,"No injury. Hull bitten, tooth fragment recovered",N
36,2016,USA,2016.07.07.b,Fishing,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N
37,2016,USA,2016.07.07.a,Fishing,"No injury. Hull bitten, tooth fragment recovered",N
38,2016,USA,2016.07.06,Swimming,"Buttocks, thigh, left hand & wrist injured",N
39,2016,AUSTRALIA,2016.07.04,Fishing,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N
40,2016,USA,2016.06.27,Other,Minor injury,N
41,2016,USA,2016.06.25,Surfing,Foot injured,N
42,2016,OTHER,2016.06.24,Diving,Severe bite to right hand,N
43,2016,SOUTH AFRICA,2016.06.23,Fishing,Injuries to left leg & right hand,N
44,2016,USA,2016.06.21.b,Other,Lacerations and punctures to foot,N
45,2016,USA,2016.06.21.a,Wading,Injuries to right calf,N
46,2016,USA,2016.06.15.b,Surfing,Single puncture wound to arm,N
47,2016,AUSTRALIA,2016.06.15.a,Fishing,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N
48,2016,USA,2016.06.14,Other,Injury to lower leg,N
49,2016,USA,2016.06.11,Standing,Laceration to wrist,N
50,2016,USA,2016.06.07,Surfing,"No injury, board damaged",N
51,2016,USA,2016.06.05.b,Swimming,Leg bitten,N
52,2016,AUSTRALIA,2016.06.05.a,Diving,FATAL,Y
53,2016,EGYPT,2016.06.04,Swimming,"Leg severely bitten, surgically amputated",N
54,2016,AUSTRALIA,2016.06.02.b,Fishing,"No injury, but sharks repeatedly hit their fins and guns",UNKNOWN
55,2016,NEW CALEDONIA,2016.06.02.a,Surfing,Laceration to heel,N
56,2016,AUSTRALIA,2016.05.31,Surfing,FATAL,Y
57,2016,USA,2016.05.29.b,Swimming,Injuries to arm and shoulder,N
58,2016,USA,2016.05.29.a,Swimming,Injury to posterior right leg,N
59,2016,USA,2016.05.22,Swimming,Puncture wounds to thigh,N
60,2016,USA,2016.05.21.b,Swimming,Lacerations and puncture wounds to foot and ankle,N
61,2016,USA,2016.05.21.a,Swimming,"Back, arm & hand injured",N
62,2016,USA,2016.05.18,Swimming,Ankle bitten,N
63,2016,USA,2016.05.15,Other,Arm grabbed PROVOKED INCIDENT,N
64,2016,USA,2016.05.03,Other,Minor lacerations to right shoulder,N
65,2016,NEW ZEALAND,2016.05.02,Fishing,Foot bitten by landed shark PROVOKED INCIDENT,N
66,2016,OTHER,2016.04.25,Surfing,Elbow bitten,N
67,2016,USA,2016.04.23,Surfing,Minor injury to left foot,N
68,2016,SOUTH AFRICA,2016.04.22,Surfing,"No injury, surf-ski bitten",N
69,2016,AUSTRALIA,2016.04.19,Swimming,Minor puncture wound to foot,N
70,2016,OTHER,2016.04.18,Fishing,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N
71,2016,USA,2016.04.13,Fishing,Multiple bites to right arm,N
72,2016,NEW CALEDONIA,2016.04.09,Other,FATAL,Y
73,2016,OTHER,2016.04.08,Other,"""Serious""",N
74,2016,USA,2016.04.07.b,Fishing,Left hand bitten,N
75,2016,USA,2016.04.07.a,Other,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,N
76,2016,USA,2016.03.31,Snorkeling,Minor injury to left foot,N
77,2016,AUSTRALIA,2016.03.30,Surfing,Severe injury to thigh,N
78,2016,USA,2016.03.28.b,Other,Minor injury to arm. Possibly caused by smalll nurse shark,N
79,2016,AUSTRALIA,2016.03.28.a,Surfing,"No injury, board dented",N
80,2016,BAHAMAS,2016.03.26,Other,Minor injury to chest PROVOKED INCIDENT,N
81,2016,USA,2016.03.13,Surfing,Board reportedly bumped by shark. No injury,N
82,2016,USA,2016.03.11,Surfing,Lacerations to right foot and ankle,N
83,2016,OTHER,2016.03.10,Diving,FATAL,Y
84,2016,USA,2016.03.04,Other,Superficial injury to foot,N
85,2016,AUSTRALIA,2016.03.03.R,Fishing,Puncture wounds to right calf,N
86,2016,BRAZIL,2016.03.02,Swimming,Minor injury to head,N
87,2016,NEW CALEDONIA,2016.02.22,Surfing,Puncture wounds to right thigh,N
88,2016,NEW CALEDONIA,2016.02.19,Fishing,Forearm bitten,N
89,2016,OTHER,2016.02.12,Wading,Avulsion injury to lower leg,N
90,2016,OTHER,2016.02.10.R,Other,Minor injury to wrist from Southern stingray,N
91,2016,AUSTRALIA,2016.02.10,Surfing,"No injury, knocked off board",N
92,2016,AUSTRALIA,2016.02.05,Other,Foot nipped,N
93,2016,AUSTRALIA,2016.02.04,Surfing,"No injury, shark bit board",N
94,2016,SOUTH AFRICA,2016.01.29,Fishing,"No injury, shark capsized kayak",N
95,2016,USA,2016.01.28,Surfing,Lacerations to both hands,N
96,2016,USA,2016.01.25,Surfing,No injury,N
97,2016,USA,2016.01.24.b,Fishing,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N
98,2016,OTHER,2016.01.24.a,Fishing,"No injury to occupants, shark leapt into boat",N
99,2016,USA,2016.01.23,Other,No injury,N
100,2016,AUSTRALIA,2016.01.11.R,Surfing,Laceration to right foot,N
101,2016,AUSTRALIA,2016.01.05,Wading,Laceration to right calf,N
102,2016,AUSTRALIA,2016.01.02,Fishing,Lacerations to arms & leg,N
103,2015,SOUTH AFRICA,2015.12.26,Fishing,"No injury, kayak damaged",N
104,2015,SPAIN,2015.12.25,Swimming,Lacerations to left forearm,N
105,2015,USA,2015.12.22,Other,"No injury, shark bit board",N
106,2015,AUSTRALIA,2015.12.21.b,Surfing,"No injury, shark leapt on surfboard",N
107,2015,BRAZIL,2015.12.21.a,Diving,Right hand & part of forearm removed,N
108,2015,OTHER,2015.12.19,Other,FATAL,Y
109,2015,AUSTRALIA,2015.12.13,Fishing,"No injury, shark rammed boat & bit motor",N
110,2015,BAHAMAS,2015.12.11,Fishing,"Bitten on thigh, abdomen & hand",N
111,2015,SOUTH AFRICA,2015.12.08,Swimming,Lacerations to both hands and forearms,N
112,2015,USA,2015.11.16,Surfing,Right heel injured,N
113,2015,USA,2015.11.15.b,Swimming,Leg injured,N
114,2015,USA,2015.11.15.a,Surfing,Lacerations to hand,N
115,2015,AUSTRALIA,2015.11.10,Surfing,Injury to left thigh,N
116,2015,USA,2015.12.23,Surfing,Lower left leg injured,N
117,2015,USA,2015.11.03,Swimming,Laceration to right ankle,N
118,2015,USA,2015.11.01.b,Wading,Injury to right ankle/calf & hand,N
119,2015,MOZAMBIQUE,2015.11.01.a,Fishing,"Arms severely injured, surgically amputated",N
120,2015,AUSTRALIA,2015.10.30,Fishing,Minor injury,N
121,2015,USA,2015.10.28.a,Body boarding,"Lacerations & puncture wounds to right thigh, calf & ankle",N
122,2015,SOUTH AFRICA,2015.10.25,Surfing,"Lacerations to right calf, knee & hip",N
123,2015,USA,2015.10.21,Surfing,Lacerations to left hand,N
124,2015,USA,2015.10.19,Surfing,Left foot bitten,N
125,2015,MOZAMBIQUE,2015.10.17.c,Fishing,FATAL,Y
126,2015,USA,2015.10.17.b,Surfing,Left foot bitten by eel,N
127,2015,USA,2015.10.17.a,Swimming,Injuries to lower legs,N
128,2015,USA,2015.10.13,Fishing,"No injury, shark rammed kayak repeatedly",N
129,2015,USA,2015.10.09.b,Other,Laceration to forearm,N
130,2015,USA,2015.10.09.a,Surfing,"Left leg severed below the knee, defense injuries to left hand",N
131,2015,MOZAMBIQUE,2015.10.08,Fishing,"Arm severely injured, surgically amputated",N
132,2015,AUSTRALIA,2015.10.07,Surfing,Foot injured,N
133,2015,USA,2015.10.05.b,Body boarding,2 lacerations to ankle,N
134,2015,USA,2015.10.05.a,Wading,Foot & hands bitten,N
135,2015,USA,2015.10.04,Surfing,Severe lacerations to left hand,N
136,2015,USA,2015.09.29,Surfing,"Laceration to heel, puncture wounds to dorsum of foot",N
137,2015,AUSTRALIA,2015.09.26,Snorkeling,Laceration to leg,N
138,2015,USA,2015.09.24,Fishing,"No injury, kayak damaged",N
139,2015,USA,2015.09.20.d,Surfing,Minor injury to left ankle,N
140,2015,USA,2015.09.20.c,Fishing,Severe laceration to left leg,N
141,2015,USA,2015.09.20.b,Wading,Significant injuries to leg,N
142,2015,USA,2015.09.20.a,Fishing,Injury to right hand / wrist,N
143,2015,USA,2015.09.18,Swimming,Lacerations to calf,N
144,2015,USA,2015.09.17,Surfing,Injury to right foot,N
145,2015,AUSTRALIA,2015.09.08,Surfing,Minor laceration to hand,N
146,2015,USA,2015.09.06,Other,"No injury, shark struck board, tossing her into the sea",N
147,2015,USA,2015.09.05,Fishing,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N
148,2015,AUSTRALIA,2015.09.04,Surfing,Inuries to lower left leg & ankle,N
149,2015,USA,2015.09.03,Other,Right foot bitten,N
150,2015,OTHER,2015.09.01,Wading,Left foot & ankle bitten,N
151,2015,FIJI,2015.09.00,Fishing,Leg bitten,N
152,2015,USA,2015.08.29.b,Surfing,"No injury, surfboard bitten",N
